          50 ,          50
 -0.30612245E+001  0.28970254E+001  0.64355015E-028
 -0.30612245E+001  0.29485127E+001  0.76909838E-028
 -0.30612245E+001  0.30000000E+001  0.91909943E-028
 
 -0.26938776E+001  0.47712125E+000  0.13629341E-032
 -0.26938776E+001  0.52860858E+000  0.34686740E-032
 -0.26938776E+001  0.58009590E+000  0.60966362E-032
 -0.26938776E+001  0.63158322E+000  0.93553216E-032
 -0.26938776E+001  0.68307054E+000  0.13374766E-031
 -0.26938776E+001  0.73455786E+000  0.18310760E-031
 -0.26938776E+001  0.78604518E+000  0.24349885E-031
 -0.26938776E+001  0.83753250E+000  0.31715535E-031
 -0.26938776E+001  0.88901983E+000  0.40675116E-031
 -0.26938776E+001  0.94050715E+000  0.51548639E-031
 -0.26938776E+001  0.99199447E+000  0.64718997E-031
 -0.26938776E+001  0.10434818E+001  0.80644234E-031
 -0.26938776E+001  0.10949691E+001  0.99872217E-031
 -0.26938776E+001  0.11464564E+001  0.12305815E-030
 -0.26938776E+001  0.11979438E+001  0.15098553E-030
 -0.26938776E+001  0.12494311E+001  0.18459112E-030
 -0.26938776E+001  0.13009184E+001  0.22499486E-030
 -0.26938776E+001  0.13524057E+001  0.27353558E-030
 -0.26938776E+001  0.14038930E+001  0.33181363E-030
 -0.26938776E+001  0.14553804E+001  0.40174182E-030
 -0.26938776E+001  0.15068677E+001  0.48560636E-030
 -0.26938776E+001  0.15583550E+001  0.58613952E-030
 -0.26938776E+001  0.16098423E+001  0.70660659E-030
 -0.26938776E+001  0.16613296E+001  0.85090962E-030
 -0.26938776E+001  0.17128170E+001  0.10237115E-029
 -0.26938776E+001  0.17643043E+001  0.12305840E-029
 -0.26938776E+001  0.18157916E+001  0.14781849E-029
 -0.26938776E+001  0.18672789E+001  0.17744694E-029
 -0.26938776E+001  0.19187663E+001  0.21289426E-029
 -0.26938776E+001  0.19702536E+001  0.25529615E-029
 -0.26938776E+001  0.20217409E+001  0.30600954E-029
