#table for dust cooling
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#columns: ngas (cm-3), Tgas (K), cooling (erg/cm3/s) 
         30 ,          30
 -0.39310345E+001  0.19655172E+001 -0.37397576E+002
 -0.39310345E+001  0.22068966E+001 -0.37011363E+002
 -0.39310345E+001  0.24482759E+001 -0.36636027E+002
 -0.39310345E+001  0.26896552E+001 -0.36266527E+002
 -0.39310345E+001  0.29310345E+001 -0.35900253E+002
 -0.39310345E+001  0.31724138E+001 -0.35535789E+002
 -0.39310345E+001  0.34137931E+001 -0.35172353E+002
 -0.39310345E+001  0.36551724E+001 -0.34809502E+002
 -0.39310345E+001  0.38965517E+001 -0.34446984E+002
 -0.39310345E+001  0.41379310E+001 -0.34084659E+002
 -0.39310345E+001  0.43793103E+001 -0.33722442E+002
 -0.39310345E+001  0.46206897E+001 -0.33360289E+002
 -0.39310345E+001  0.48620690E+001 -0.32998171E+002
 -0.39310345E+001  0.51034483E+001 -0.32636075E+002
 -0.39310345E+001  0.53448276E+001 -0.32273990E+002
 -0.39310345E+001  0.55862069E+001 -0.31911912E+002
 -0.39310345E+001  0.58275862E+001 -0.31549837E+002
 -0.39310345E+001  0.60689655E+001 -0.31187766E+002
 -0.39310345E+001  0.63103448E+001 -0.30825695E+002
 -0.39310345E+001  0.65517241E+001 -0.30463625E+002
 -0.39310345E+001  0.67931034E+001 -0.30101555E+002
 -0.39310345E+001  0.70344828E+001 -0.29739486E+002
 -0.39310345E+001  0.72758621E+001 -0.29377417E+002
 -0.39310345E+001  0.75172414E+001 -0.29015348E+002
 -0.39310345E+001  0.77586207E+001 -0.28653279E+002
 -0.39310345E+001  0.80000000E+001 -0.28291210E+002
 
 -0.35172414E+001  0.10000000E+001 -0.40000000E+002
 -0.35172414E+001  0.12413793E+001 -0.38029134E+002
 -0.35172414E+001  0.14827586E+001 -0.37432835E+002
