#             Z            ion           name        E(cm-1)           E(K)          E(eV)            pqn
             17             14           ClXV      6047200.0   8.640179e+06   7.497379e+02              2
             17             15          ClXVI      6526714.0   9.325304e+06   8.091885e+02              2
             17             16         ClXVII     29507666.0   4.216026e+07   3.658390e+03              1
             17             17        ClXVIII     31828900.0   4.547681e+07   3.946179e+03              1
             18              1           ArII       127109.8   1.816132e+05   1.575920e+01              3
             18              2          ArIII       222848.2   3.184033e+05   2.762894e+01              3
             18              3           ArIV       328600.0   4.695004e+05   4.074016e+01              3
             18              4            ArV       482400.0   6.892483e+05   5.980843e+01              3
             18              5           ArVI       605100.0   8.645608e+05   7.502090e+01              3
             18              6          ArVII       734040.0   1.048789e+06   9.100701e+01              3
             18              7         ArVIII      1002730.0   1.432691e+06   1.243195e+02              3
             18              8           ArIX      1157056.0   1.653190e+06   1.434530e+02              3
             18              9            ArX      3407300.0   4.868316e+06   4.224405e+02              2
             18             10           ArXI      3860900.0   5.516415e+06   4.786782e+02              2
             18             11          ArXII      4347000.0   6.210950e+06   5.389454e+02              2
             18             12         ArXIII      4986600.0   7.124804e+06   6.182437e+02              2
             18             13          ArXIV      5533800.0   7.906638e+06   6.860861e+02              2
             18             14           ArXV      6095500.0   8.709189e+06   7.557262e+02              2
             18             15          ArXVI      6894200.0   9.850364e+06   8.547498e+02              2
             18             16         ArXVII      7407274.0   1.058344e+07   9.183612e+02              2
             18             17        ArXVIII     33236829.0   4.748845e+07   4.120735e+03              1
             18             18          ArXIX     35699780.0   5.100749e+07   4.426094e+03              1
             19              1            KII      35009.814   5.002167e+04   4.340552e+00              4
             19              2           KIII       255100.0   3.644843e+05   3.162755e+01              3
             19              3            KIV       369450.0   5.278665e+05   4.580478e+01              3
             19              4             KV       491300.0   7.019645e+05   6.091187e+01              3
             19              5            KVI       666700.0   9.525743e+05   8.265813e+01              3
             19              6           KVII       802000.0   1.145890e+06   9.943276e+01              3
             19              7          KVIII       948200.0   1.354779e+06   1.175588e+02              3
             19              8            KIX      1249200.0   1.784844e+06   1.548771e+02              3
             19              9             KX      1418063.0   2.026114e+06   1.758129e+02              3
             19             10            KXI      4063000.0   5.805174e+06   5.037348e+02              2
             19             11           KXII      4555000.0   6.508138e+06   5.647335e+02              2
             19             12          KXIII      5077000.0   7.253967e+06   6.294515e+02              2
             19             13           KXIV      5764000.0   8.235546e+06   7.146265e+02              2
             19             14            KXV      6345000.0   9.065673e+06   7.866594e+02              2
             19             15           KXVI      6945000.0   9.922947e+06   8.610480e+02              2
             19             16          KXVII      7810000.0   1.115885e+07   9.682916e+02              2
             19             17         KXVIII      8344200.0   1.192211e+07   1.034522e+03              2
             19             18           KXIX     37188200.0   5.313413e+07   4.610630e+03              1
             19             19            KXX     39795750.0   5.685977e+07   4.933917e+03              1
             20              1           CaII       49305.95   7.044785e+04   6.113001e+00              4
             20              2          CaIII       95751.87   1.368093e+05   1.187141e+01              4
             20              3           CaIV       410642.0   5.867212e+05   5.091181e+01              3
             20              4            CaV       542600.0   7.752615e+05   6.727209e+01              3
             20              5           CaVI       681600.0   9.738633e+05   8.450545e+01              3
             20              6          CaVII       877400.0   1.253620e+06   1.087809e+02              3
             20              7         CaVIII      1026000.0   1.465939e+06   1.272045e+02              3
             20              8           CaIX      1187600.0   1.696831e+06   1.472398e+02              3
             20              9            CaX      1520640.0   2.172675e+06   1.885305e+02              3
             20             10           CaXI      1704047.0   2.434725e+06   2.112695e+02              3
             20             11          CaXII      4774000.0   6.821043e+06   5.918853e+02              2
             20             12         CaXIII      5301000.0   7.574016e+06   6.572233e+02              2
             20             13          CaXIV      5861000.0   8.374138e+06   7.266526e+02              2
             20             14           CaXV      6595000.0   9.422870e+06   8.176547e+02              2
             20             15          CaXVI      7215000.0   1.030872e+07   8.945229e+02              2
             20             16         CaXVII      7860000.0   1.123029e+07   9.744907e+02              2
             20             17        CaXVIII      8770000.0   1.253049e+07   1.087313e+03              2
             20             18          CaXIX      9338000.0   1.334204e+07   1.157735e+03              2
             20             19           CaXX     41366000.0   5.910333e+07   5.128598e+03              1
             20             20          CaXXI     44117410.0   6.303451e+07   5.469721e+03              1
             21              1           ScII        52922.0   7.561442e+04   6.561322e+00              4
             21              2          ScIII       103237.1   1.475041e+05   1.279944e+01              4
             21              3           ScIV      199677.37   2.852970e+05   2.475620e+01              3
             21              4            ScV       592732.0   8.468896e+05   7.348751e+01              3
             21              5           ScVI       739500.0   1.056590e+06   9.168395e+01              3
             21              6          ScVII       892700.0   1.275481e+06   1.106778e+02              3
             21              7         ScVIII      1113000.0   1.590243e+06   1.379909e+02              3
             21              8           ScIX      1275000.0   1.821707e+06   1.580758e+02              3
             21              9            ScX      1452000.0   2.074603e+06   1.800204e+02              3
             21             10           ScXI      1816200.0   2.594968e+06   2.251743e+02              3
             21             11          ScXII      2014760.0   2.878669e+06   2.497920e+02              3
             21             12         ScXIII      5543900.0   7.921069e+06   6.873383e+02              2
             21             13          ScXIV      6103000.0   8.719905e+06   7.566560e+02              2
             21             14           ScXV      6701000.0   9.574322e+06   8.307967e+02              2
             21             15          ScXVI      7481000.0   1.068878e+07   9.275019e+02              2
             21             16         ScXVII      8140000.0   1.163035e+07   1.009205e+03              2
             21             17        ScXVIII      8820000.0   1.260193e+07   1.093512e+03              2
             21             18          ScXIX      9780000.0   1.397357e+07   1.212534e+03              2
             21             19           ScXX     10388200.0   1.484256e+07   1.287939e+03              2
