#table for dust H2 formation
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#columns: ngas (cm-3), Tgas (K), H2 rate (1/s)
          30 ,          30
 -0.22758621E+001  0.80000000E+001 -0.26152256E+002
 
 -0.18620690E+001  0.10000000E+001 -0.18358628E+002
 -0.18620690E+001  0.12413793E+001 -0.18254738E+002
 -0.18620690E+001  0.14827586E+001 -0.18159903E+002
 -0.18620690E+001  0.17241379E+001 -0.18078684E+002
 -0.18620690E+001  0.19655172E+001 -0.18018740E+002
 -0.18620690E+001  0.22068966E+001 -0.17993243E+002
 -0.18620690E+001  0.24482759E+001 -0.18022542E+002
 -0.18620690E+001  0.26896552E+001 -0.18129133E+002
 -0.18620690E+001  0.29310345E+001 -0.18322326E+002
 -0.18620690E+001  0.31724138E+001 -0.18588431E+002
 -0.18620690E+001  0.34137931E+001 -0.18901877E+002
 -0.18620690E+001  0.36551724E+001 -0.19240881E+002
 -0.18620690E+001  0.38965517E+001 -0.19592271E+002
 -0.18620690E+001  0.41379310E+001 -0.19949368E+002
 -0.18620690E+001  0.43793103E+001 -0.20309068E+002
 -0.18620690E+001  0.46206897E+001 -0.20669972E+002
 -0.18620690E+001  0.48620690E+001 -0.21031450E+002
 -0.18620690E+001  0.51034483E+001 -0.21393211E+002
 -0.18620690E+001  0.53448276E+001 -0.21755115E+002
 -0.18620690E+001  0.55862069E+001 -0.22117095E+002
 -0.18620690E+001  0.58275862E+001 -0.22479114E+002
 -0.18620690E+001  0.60689655E+001 -0.22841156E+002
 -0.18620690E+001  0.63103448E+001 -0.23203210E+002
 -0.18620690E+001  0.65517241E+001 -0.23565271E+002
 -0.18620690E+001  0.67931034E+001 -0.23927339E+002
 -0.18620690E+001  0.70344828E+001 -0.24289424E+002
 -0.18620690E+001  0.72758621E+001 -0.24651559E+002
 -0.18620690E+001  0.75172414E+001 -0.25013846E+002
 -0.18620690E+001  0.77586207E+001 -0.25376519E+002
 -0.18620690E+001  0.80000000E+001 -0.25740055E+002
 
 -0.14482759E+001  0.10000000E+001 -0.17944835E+002
 -0.14482759E+001  0.12413793E+001 -0.17840945E+002
 -0.14482759E+001  0.14827586E+001 -0.17746110E+002
 -0.14482759E+001  0.17241379E+001 -0.17664891E+002
 -0.14482759E+001  0.19655172E+001 -0.17604947E+002
 -0.14482759E+001  0.22068966E+001 -0.17579450E+002
 -0.14482759E+001  0.24482759E+001 -0.17608749E+002
 -0.14482759E+001  0.26896552E+001 -0.17715340E+002
 -0.14482759E+001  0.29310345E+001 -0.17908533E+002
 -0.14482759E+001  0.31724138E+001 -0.18174638E+002
 -0.14482759E+001  0.34137931E+001 -0.18488084E+002
 -0.14482759E+001  0.36551724E+001 -0.18827088E+002
 -0.14482759E+001  0.38965517E+001 -0.19178478E+002
 -0.14482759E+001  0.41379310E+001 -0.19535575E+002
 -0.14482759E+001  0.43793103E+001 -0.19895275E+002
 -0.14482759E+001  0.46206897E+001 -0.20256179E+002
 -0.14482759E+001  0.48620690E+001 -0.20617657E+002
 -0.14482759E+001  0.51034483E+001 -0.20979418E+002
 -0.14482759E+001  0.53448276E+001 -0.21341322E+002
 -0.14482759E+001  0.55862069E+001 -0.21703302E+002
 -0.14482759E+001  0.58275862E+001 -0.22065321E+002
 -0.14482759E+001  0.60689655E+001 -0.22427363E+002
 -0.14482759E+001  0.63103448E+001 -0.22789418E+002
 -0.14482759E+001  0.65517241E+001 -0.23151483E+002
 -0.14482759E+001  0.67931034E+001 -0.23513570E+002
 -0.14482759E+001  0.70344828E+001 -0.23875717E+002
 -0.14482759E+001  0.72758621E+001 -0.24238039E+002
 -0.14482759E+001  0.75172414E+001 -0.24600800E+002
 -0.14482759E+001  0.77586207E+001 -0.24964516E+002
 -0.14482759E+001  0.80000000E+001 -0.25330075E+002
 
 -0.10344828E+001  0.10000000E+001 -0.17531042E+002
 -0.10344828E+001  0.12413793E+001 -0.17427152E+002
 -0.10344828E+001  0.14827586E+001 -0.17332317E+002
 -0.10344828E+001  0.17241379E+001 -0.17251098E+002
 -0.10344828E+001  0.19655172E+001 -0.17191154E+002
 -0.10344828E+001  0.22068966E+001 -0.17165657E+002
